"","region","species_name","species_qualified","cuid","cu_name_pse","pointid","streamid","POP_ID","GFE_ID","stream_name_pse","indicator","latitude","longitude","year","stream_observed_count","stream_survey_method","stream_survey_quality","source_id"
"13898","Yukon","Chinook","CK",1201,"Big Salmon",2327,10194,44597,2516,"BIG SALMON RIVER","Y",61.88025855,-134.9225263,1959,68,"unknown estimate method","Unkonwn","NuSEDS_20251103"
"13900","Yukon","Chinook","CK",1201,"Big Salmon",2327,10194,44597,2516,"BIG SALMON RIVER","Y",61.88025855,-134.9225263,1959,68,"unknown estimate method","Unkonwn","NuSEDS_20251103"
