"region","species_name","species_qualified","cuid","cu_name_pse","sr_red_prob","sr_yellow_prob","sr_green_prob","percentile_red_prob","percentile_yellow_prob","percentile_green_prob","hist_red","hist_yellow","hist_green","sr_status","percentile_status","psf_status_code_all","psf_status_type","psf_status_code","psf_status"
"Northern Transboundary","Sockeye","SEL",1039,"Nesketahin",NA,NA,NA,55.28,44.72,0,"#CC0000","#FFFFFF","#FFFFFF",NA,"poor","3, 3","absolute","3","poor"
"Northern Transboundary","Sockeye","SER",1021,"Alsek (river-type)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Northern Transboundary","Sockeye","SER",1023,"Northern Transboundary Fjords (river-type)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Northern Transboundary","Steelhead","SH",1080,"Alsek Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Northern Transboundary","Steelhead","SH",1081,"Taku Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Northern Transboundary","Steelhead","SH",1082,"Taku Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Northern Transboundary","Steelhead","SH",1083,"Stikine Summer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Northern Transboundary","Steelhead","SH",1084,"Stikine Winter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Skeena","Chinook","CK",205,"Ecstall",NA,NA,NA,0.1,99.9,0,"#FFFFFF","#FFFF00","#FFFFFF",NA,"fair","7, 8",NA,"8","data-deficient"
"Skeena","Chinook","CK",206,"Kalum-Early",NA,NA,NA,68.74,31.26,0,"#CC0000","#FFFFFF","#FFFFFF",NA,"poor","8","percentile","8","data-deficient"
"Skeena","Chinook","CK",207,"Kalum-Late",0.0476,1.9524,98,47.66,52.34,0,"#CC0000","#FFFFFF","#FFFFFF","good","poor","1","sr","1","good"
"Skeena","Chinook","CK",210,"Lower Skeena",11.9762,88.0238,0,99.92,0.08,0,"#CC0000","#FFFFFF","#FFFFFF","fair","poor","2, 3","absolute","3","poor"
"Skeena","Chinook","CK",212,"Upper Skeena",41.0238,58.9762,0,96.94,3.06,0,"#CC0000","#FFFFFF","#FFFFFF","fair","poor","2","sr","2","fair"
"Skeena","Chinook","CK",217,"Middle Skeena-Mainstem Tributaries",20.8571,79.1429,0,99.92,0.08,0,"#CC0000","#FFFFFF","#FFFFFF","fair","poor","2","sr","2","fair"
"Skeena","Chinook","CK",221,"Upper Bulkley River",NA,NA,NA,0,42.42,57.58,"#FFFFFF","#FFFFFF","#009900",NA,"good","8","percentile","8","data-deficient"
"Skeena","Chinook","CK",222,"Middle Skeena-Large Lakes",13.619,86.381,0,94.66,5.34,0,"#CC0000","#FFFFFF","#FFFFFF","fair","poor","2","sr","2","fair"
