parameter,location,species,year,datavalue
run_time_sd,Babine (enhanced),Lake sockeye,,14
run_time_sd,Babine/Onerka,Lake sockeye,,14
run_time_sd,Bear,Lake sockeye,,14
run_time_sd,Bowron-Early Summer,Lake sockeye,,9.55
run_time_sd,Bulkley/Maxan,Lake sockeye,,17.5
run_time_sd,Chilko-Early Summer,Lake sockeye,,9.55
run_time_sd,Chilko-Summer,Lake sockeye,,9.44
run_time_sd,Chilliwack-Early Summer (cyclic),Lake sockeye,,9.55
run_time_sd,Cultus-Late,Lake sockeye,,8.16
run_time_sd,Damshilgwit,Lake sockeye,,14
run_time_sd,Ecstall/Lower,Lake sockeye,,13.3
run_time_sd,Footsore/Hodder,Lake sockeye,,
run_time_sd,Francois-Fraser-Summer,Lake sockeye,,9.44
run_time_sd,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,,19.6
run_time_sd,Harrison-Downstream Migrating-Late,Lake sockeye,,8.16
run_time_sd,Harrison-Upstream Migrating-Late,Lake sockeye,,8.16
run_time_sd,Harrison River (river-type),Lake sockeye,,9.44
run_time_sd,Johanson,Lake sockeye,,14
run_time_sd,Johnston,Lake sockeye,,13.3
run_time_sd,Kamloops-Early Summer,Lake sockeye,,9.55
run_time_sd,Kitsumkalum,Lake sockeye,,17.5
run_time_sd,Kluatantan,Lake sockeye,,17.5
run_time_sd,Kluayaz,Lake sockeye,,17.5
run_time_sd,Lakelse,Lake sockeye,,13.3
run_time_sd,Lillooet-Harrison-Late,Lake sockeye,,8.16
run_time_sd,Mcdonell/Dennis/Aldrich,Lake sockeye,,9.8
run_time_sd,Morice/Atna,Lake sockeye,,17.5
run_time_sd,Motase,Lake sockeye,,15.4
run_time_sd,Nadina-Francois-Early Summer,Lake sockeye,,9.55
run_time_sd,Nahatlatch-Early Summer,Lake sockeye,,9.55
run_time_sd,Nilkitkwa,Lake sockeye,,14
run_time_sd,North Barriere-Early Summer (de novo),Lake sockeye,,9.55
run_time_sd,Osoyoos,Lake sockeye,,8
run_time_sd,Pitt-Early Summer,Lake sockeye,,9.55
run_time_sd,Quesnel-Summer (cyclic),Lake sockeye,,9.44
run_time_sd,Seton-Late (de novo),Lake sockeye,,8.16
